name,latitude,longitude,code
서울특별시,37.566826,126.978652,11
부산광역시,35.179820,129.075087,26
대구광역시,35.871380,128.601805,27
인천광역시,37.456005,126.705258,28
광주광역시,35.160104,126.851630,29
대전광역시,36.350539,127.384835,30
울산광역시,35.539596,129.311603,31
세종특별자치시,36.480065,127.289195,36
경기도,37.274977,127.008930,41
충청북도,36.635358,127.491457,43
충청남도,36.658829,126.672776,44
전라남도,34.816082,126.462788,46
경상북도,36.575996,128.505799,47
경상남도,35.237774,128.691897,48
제주특별자치도,33.488918,126.498229,50
강원특별자치도,37.885326,127.729829,51
전북특별자치도,35.820196,127.108977,52
